date,close,open,high,low,volume
2021-11-26,53757.67,58994.72,59194.00,53533.00,41810748221
2021-11-27,54759.05,53757.67,55316.67,53642.58,30560857714
2021-11-28,57317.17,54759.04,57490.00,53327.00,28116886357
2021-11-29,57838.06,57318.51,58908.27,56730.00,32370840356
2021-11-30,56987.97,57838.06,59249.77,55910.33,36708594618
2021-12-01,57226.50,56998.35,59118.84,56465.75,36858195307
2021-12-02,56521.46,57226.51,57423.69,55845.00,32379968686
2021-12-03,53638.04,56521.45,57670.68,51640.00,39789134215
2021-12-04,49241.12,53633.02,53876.09,42333.00,61385677469
2021-12-05,49484.22,49235.26,49783.00,47827.00,37198201161
2021-12-06,50529.56,49484.21,51105.00,47200.00,37707308001
2021-12-07,50625.48,50529.56,51995.00,50067.10,33676814852
2021-12-08,50519.68,50625.24,51250.00,48650.02,28479699446
2021-12-09,47568.43,50520.94,50844.86,47323.23,29603577251
2021-12-10,47170.94,47568.43,50148.49,46900.00,30966005122
2021-12-11,49407.75,47170.94,49517.18,46786.78,25775869261
2021-12-12,50089.64,49424.47,50828.13,48665.43,21939223599
2021-12-13,46727.89,50089.64,50218.42,45727.92,32166727776
2021-12-14,48367.43,46727.89,48686.91,46300.00,34638619079
2021-12-15,48884.78,48359.23,49500.00,46530.00,36541828520
2021-12-16,47634.22,48878.83,49459.39,47524.66,27268150947
2021-12-17,46166.50,47634.20,48000.00,45469.32,32902725329
2021-12-18,46859.46,46159.87,47368.73,45515.72,26098292690
2021-12-19,46687.19,46857.49,48351.92,46440.11,25154053861
2021-12-20,46926.07,46687.20,47548.93,45568.00,30961902129
2021-12-21,48914.70,46926.07,49339.31,46645.05,27055803928
2021-12-22,48608.62,48914.70,49595.00,48450.00,24447979559
2021-12-23,50842.20,48608.61,51397.82,48032.16,28223878108
2021-12-24,50851.38,50842.06,51878.60,50445.55,24367912228
2021-12-25,50428.31,50852.31,51171.68,50191.84,19030650914
2021-12-26,50801.79,50428.31,51295.33,49460.00,20964372926
2021-12-27,50717.77,50804.33,52100.00,50480.00,24324345758
2021-12-28,47543.09,50720.35,50720.35,47300.23,33430376883
2021-12-29,46471.24,47542.20,48149.58,46094.02,30049226299
2021-12-30,47122.08,46471.24,47926.15,45938.44,26686491018
2021-12-31,46211.24,47122.09,48574.70,45650.00,36974172400
2022-01-01,47733.43,46211.24,47967.12,46205.00,24582667004
2022-01-02,47299.07,47733.43,47990.00,46633.36,27951569547
2022-01-03,46459.56,47299.06,47583.33,45700.00,33071628362
2022-01-04,45814.61,46459.57,47532.89,45515.00,42494677905
2022-01-05,43436.04,45817.13,47076.55,42500.00,36851084859
